Country,Rank,Skill,Year
Australia,15,Data Engineering and Data Warehousing,2014
Australia,1,Statistical Analysis and Data Mining,2014
Brazil,10,Data Engineering and Data Warehousing,2014
Brazil,1,Statistical Analysis and Data Mining,2014
Canada,17,Data Engineering and Data Warehousing,2014
Canada,1,Statistical Analysis and Data Mining,2014
France,1,Statistical Analysis and Data Mining,2014
Global,11,Data Engineering and Data Warehousing,2014
Global,1,Statistical Analysis and Data Mining,2014
India,19,Data Engineering and Data Warehousing,2014
India,1,Statistical Analysis and Data Mining,2014
Netherlands,20,Data Engineering and Data Warehousing,2014
Netherlands,1,Statistical Analysis and Data Mining,2014
South Africa,14,Data Engineering and Data Warehousing,2014
South Africa,1,Statistical Analysis and Data Mining,2014
United Arab Emirates,14,Data Engineering and Data Warehousing,2014
United Arab Emirates,1,Statistical Analysis and Data Mining,2014
United Kingdom,21,Data Engineering and Data Warehousing,2014
United Kingdom,1,Statistical Analysis and Data Mining,2014
United States,14,Data Engineering and Data Warehousing,2014
United States,2,Statistical Analysis and Data Mining,2014
Australia,17,Data Engineering and Data Warehousing,2015
Australia,1,Statistical Analysis and Data Mining,2015
Brazil,7,Data Engineering and Data Warehousing,2015
Brazil,1,Statistical Analysis and Data Mining,2015
Canada,9,Data Engineering and Data Warehousing,2015
Canada,1,Statistical Analysis and Data Mining,2015
China,14,Data Engineering and Data Warehousing,2015
China,2,Statistical Analysis and Data Mining,2015
France,9,Data Engineering and Data Warehousing,2015
France,2,Statistical Analysis and Data Mining,2015
Germany,9,Data Engineering and Data Warehousing,2015
Germany,4,Statistical Analysis and Data Mining,2015
Global,11,Data Engineering and Data Warehousing,2015
Global,2,Statistical Analysis and Data Mining,2015
India,21,Data Engineering and Data Warehousing,2015
India,2,Statistical Analysis and Data Mining,2015
Ireland,7,Data Engineering and Data Warehousing,2015
Ireland,2,Statistical Analysis and Data Mining,2015
Netherlands,3,Data Engineering and Data Warehousing,2015
Netherlands,1,Statistical Analysis and Data Mining,2015
Singapore,21,Data Engineering and Data Warehousing,2015
Singapore,3,Statistical Analysis and Data Mining,2015
South Africa,16,Data Engineering and Data Warehousing,2015
South Africa,1,Statistical Analysis and Data Mining,2015
United Arab Emirates,25,Data Engineering and Data Warehousing,2015
United Arab Emirates,1,Statistical Analysis and Data Mining,2015
United Kingdom,9,Data Engineering and Data Warehousing,2015
United Kingdom,1,Statistical Analysis and Data Mining,2015
United States,15,Data Engineering and Data Warehousing,2015
United States,2,Statistical Analysis and Data Mining,2015
Australia,1,Statistical Analysis and Data Mining,2016
Brazil,1,Statistical Analysis and Data Mining,2016
Canada,6,Data Engineering and Data Warehousing,2016
Canada,1,Statistical Analysis and Data Mining,2016
China,3,Statistical Analysis and Data Mining,2016
France,8,Data Engineering and Data Warehousing,2016
France,2,Statistical Analysis and Data Mining,2016
Germany,5,Data Engineering and Data Warehousing,2016
Germany,2,Statistical Analysis and Data Mining,2016
Global,2,Statistical Analysis and Data Mining,2016
India,5,Statistical Analysis and Data Mining,2016
Ireland,2,Statistical Analysis and Data Mining,2016
Netherlands,4,Data Engineering and Data Warehousing,2016
Netherlands,1,Statistical Analysis and Data Mining,2016
Singapore,4,Statistical Analysis and Data Mining,2016
South Africa,1,Statistical Analysis and Data Mining,2016
United Arab Emirates,1,Statistical Analysis and Data Mining,2016
United Kingdom,10,Data Engineering and Data Warehousing,2016
United Kingdom,1,Statistical Analysis and Data Mining,2016
United States,2,Statistical Analysis and Data Mining,2016
